sku,slug,handle,common,group,family,origin,care,temperament,swim,tank,adult,tempC,ph,hard,diet,social,life,psize,desc,tips,aqa_staple,aqa_treat,feeding_note,hub_url,care_url,shop_url,title
RA-FSH-0087,calico-bubble-eye-goldfish,calico-bubble-eye-goldfish-4,Calico Bubble Eye Goldfish,Goldfish,Cyprinidae (coldwater),Selectively bred (China),Beginner-Intermediate,Peaceful,All levels,75-115 L per fish,6-8 in fancy (15-20 cm),18-24°C,7.0-8.4,Medium-Hard (8-20 dGH),Omnivore,Groups,10-15+ years,3 in,"Calico Bubble Eye Goldfish is a hardy coldwater fish that needs no heater but produces a heavy bioload, so strong filtration and space are essential. A long-lived, personable pet.",Coldwater fish — no heater needed; keep below ~24°C. | Big bioload: over-filter and do generous water changes. | Feed sinking foods to fancy types to reduce swim-bladder/buoyancy issues.,aqa-micro-pellet-economy,,Feed a sinking staple plus vegetable matter; avoid overfeeding.,https://care.best4pets.in/fish/calico-bubble-eye-goldfish,https://care.best4pets.in/fish/calico-bubble-eye-goldfish/care/,https://best4pets.in/products/calico-bubble-eye-goldfish-4,"Calico Bubble Eye Goldfish 3"" (Pair)"
RA-FSH-0088,calico-bubble-eye-goldfish-2,calico-bubble-eye-goldfish-2,Calico Bubble Eye Goldfish,Goldfish,Cyprinidae (coldwater),Selectively bred (China),Beginner-Intermediate,Peaceful,All levels,75-115 L per fish,6-8 in fancy (15-20 cm),18-24°C,7.0-8.4,Medium-Hard (8-20 dGH),Omnivore,Groups,10-15+ years,2 in,"Calico Bubble Eye Goldfish is a hardy coldwater fish that needs no heater but produces a heavy bioload, so strong filtration and space are essential. A long-lived, personable pet.",Coldwater fish — no heater needed; keep below ~24°C. | Big bioload: over-filter and do generous water changes. | Feed sinking foods to fancy types to reduce swim-bladder/buoyancy issues.,aqa-micro-pellet-economy,,Feed a sinking staple plus vegetable matter; avoid overfeeding.,https://care.best4pets.in/fish/calico-bubble-eye-goldfish-2,https://care.best4pets.in/fish/calico-bubble-eye-goldfish-2/care/,https://best4pets.in/products/calico-bubble-eye-goldfish-2,"Calico Bubble Eye Goldfish 2"""
RA-FSH-0089,red-head-fccp-star-betta,red-head-fccp-star-betta-pair,Red Head FCCP Star Betta,Betta,Osphronemidae,Southeast Asia,Beginner,Aggressive,Top-Middle,20 L,2.5-3 in (6-8 cm),24-28°C,6.0-7.5,Soft-Medium (2-15 dGH),Carnivore,Solitary (one male per tank),3-5 years,,"Red Head FCCP Star Betta is a labyrinth fish that breathes air from the surface. Males are beautiful but territorial and must be kept one to a tank; they prefer warm, still water.","One male per tank — males fight, sometimes to the death. | Warm, stable water and gentle flow (strong currents stress them). | Carnivore: feed betta pellets plus frozen bloodworms/brine shrimp.",aqa-micro-pellet-colour-enhancing,aqa-brineshrimp-flakes,,https://care.best4pets.in/fish/red-head-fccp-star-betta,https://care.best4pets.in/fish/red-head-fccp-star-betta/care/,https://best4pets.in/products/red-head-fccp-star-betta-pair,Red Head FCCP Star Betta (Pair)
RA-FSH-0090,l-191-pleco,l-191-pleco-5inch,L 191 Pleco,Pleco (L-number/Bristlenose),Loricariidae,South America,Beginner-Intermediate,Peaceful (with care),Bottom,115 L (varies by species),4-18 in — varies by species,24-28°C,6.0-7.5,Soft-Medium (2-15 dGH),Omnivore,Solitary (can be territorial),10-15 years,3.5 in,"L 191 Pleco is a loricariid catfish. Sizes range from a 12 cm bristlenose to an 45 cm+ common pleco, so confirm the species. Most graze biofilm and need driftwood and sinking foods.","Provide driftwood — many species rasp on wood as part of their diet. | Don't rely on tank algae alone; offer sinking wafers and vegetables (Hypancistrus are carnivores). | Confirm adult size before buying — bristlenose stay ~12 cm, common/sailfin plecos exceed 40 cm.",aqa-micro-pellet-economy,,"Supplement with algae wafers, vegetables and driftwood (Hypancistrus need meaty food).",https://care.best4pets.in/fish/l-191-pleco,https://care.best4pets.in/fish/l-191-pleco/care/,https://best4pets.in/products/l-191-pleco-5inch,L 191 Pleco 3.5inch
RA-FSH-0091,royal-whiptail-sturisoma-panamense,royal-whiptail-sturisoma-panamense-4inch,Royal Whiptail / Sturisoma panamense,Pleco (L-number/Bristlenose),Loricariidae,South America,Beginner-Intermediate,Peaceful (with care),Bottom,115 L (varies by species),4-18 in — varies by species,24-28°C,6.0-7.5,Soft-Medium (2-15 dGH),Omnivore,Solitary (can be territorial),10-15 years,4 in,"Royal Whiptail / Sturisoma panamense is a loricariid catfish. Sizes range from a 12 cm bristlenose to an 45 cm+ common pleco, so confirm the species. Most graze biofilm and need driftwood and sinking foods.","Provide driftwood — many species rasp on wood as part of their diet. | Don't rely on tank algae alone; offer sinking wafers and vegetables (Hypancistrus are carnivores). | Confirm adult size before buying — bristlenose stay ~12 cm, common/sailfin plecos exceed 40 cm.",aqa-micro-pellet-economy,,"Supplement with algae wafers, vegetables and driftwood (Hypancistrus need meaty food).",https://care.best4pets.in/fish/royal-whiptail-sturisoma-panamense,https://care.best4pets.in/fish/royal-whiptail-sturisoma-panamense/care/,https://best4pets.in/products/royal-whiptail-sturisoma-panamense-4inch,Royal Whiptail / Sturisoma panamense 4inch
RA-FSH-0092,snow-white-cichlid,snow-white-cichlid-3,Snow White Cichlid,Cichlid (other),Cichlidae,Varies,Intermediate,Semi-aggressive,All levels,150-200 L,4-8 in — varies by species,23-28°C,6.5-8.0,Medium (5-20 dGH),Omnivore,Species-dependent,8-12 years,1.5 in,Snow White Cichlid is a cichlid whose exact requirements depend on its species and region. As a group these fish are territorial and appreciate structured decor and defined territories.,Confirm the species' origin (African rift vs. New World) to set the right water hardness. | Provide territory and broken sight-lines to reduce aggression. | Match tankmates to the species' adult size and temperament.,aqa-cichlid-colour-enhancer,aqa-brineshrimp-flakes,,https://care.best4pets.in/fish/snow-white-cichlid,https://care.best4pets.in/fish/snow-white-cichlid/care/,https://best4pets.in/products/snow-white-cichlid-3,Snow White Cichlid 1.5inch ( Pair)
RA-FSH-0093,yellow-lab,yellow-lab-3,Yellow Lab,African Rift Cichlid (Malawi),Cichlidae,"Lake Malawi, East Africa",Intermediate,Aggressive,All levels,200 L,4-6 in (10-15 cm),24-28°C,7.8-8.6,Hard / Alkaline (10-20 dGH),Omnivore,Groups (species-appropriate),8-10 years,3 in,"Yellow Lab is a colourful, boldly territorial Lake Malawi cichlid. It needs hard, alkaline water and a rocky, cave-filled aquascape, with stocking planned to spread aggression.","Hard, alkaline water is essential — not for soft-water community tanks. | Build rockwork with many caves; keep them appropriately stocked to diffuse aggression. | Mbuna need veg-based food (avoid excess protein → Malawi bloat); peacocks/haps take more protein.",aqa-cichlid-colour-enhancer,aqa-brineshrimp-flakes,Mbuna are veg-leaning — keep protein moderate to avoid bloat.,https://care.best4pets.in/fish/yellow-lab,https://care.best4pets.in/fish/yellow-lab/care/,https://best4pets.in/products/yellow-lab-3,"Yellow Lab 3"""
RA-FSH-0094,black-swordtail,black-swordtail-2inch,Black Swordtail,Molly/Platy/Swordtail,Poeciliidae,Central America (livebearer),Beginner,Peaceful,Middle,75-115 L,2-5 in (5-13 cm),22-28°C,7.0-8.2,Medium-Hard (10-25 dGH),Omnivore (veg-leaning),Groups,3-5 years,,"Black Swordtail is a hardy, peaceful livebearer that does best in hard, alkaline water with plenty of vegetable matter in its diet. An easy, active community fish.","Hard, alkaline water keeps these livebearers healthiest (mollies especially). | Include algae/veg-based foods — blanched vegetables and spirulina. | Keep in groups; expect regular broods of live young.",aqa-micro-pellet-colour-enhancing,aqa-brineshrimp-flakes,Add algae/vegetable matter for this veg-leaning livebearer.,https://care.best4pets.in/fish/black-swordtail,https://care.best4pets.in/fish/black-swordtail/care/,https://best4pets.in/products/black-swordtail-2inch,Black Swordtail (Pair)
RA-FSH-0095,albino-heckelii-2,albino-threadfin-acara-3-5,Albino Heckelii,SA/CA Cichlid (large),Cichlidae,Central/South America,Intermediate-Advanced,Aggressive,All levels,200-475 L (species-dependent),6-16 in — varies by species,23-28°C,6.5-7.5,Medium (5-20 dGH),Carnivore/Omnivore,Solitary or bonded pair,10-15 years,4 in,"Albino Heckelii is a large, characterful New World cichlid. These fish are intelligent and territorial, needing a big tank, strong filtration and robust decor. Adult size varies widely by species.",Provide a large tank with powerful filtration and secure hardscape. | Territorial and often aggressive — choose tankmates carefully and confirm the species' temperament. | Confirm the exact species' adult size before stocking — some exceed 30 cm.,aqa-cichlid-colour-enhancer,aqa-brineshrimp-flakes,Larger specimens need bigger meaty/pellet foods.,https://care.best4pets.in/fish/albino-heckelii-2,https://care.best4pets.in/fish/albino-heckelii-2/care/,https://best4pets.in/products/albino-threadfin-acara-3-5,"Albino Heckelii 4"""
RA-FSH-0096,clown-knifefish,clown-knifefish-4inch,Clown Knifefish,Oddball/Predator,Various,Varies,Intermediate-Advanced,Aggressive,All levels,340 L,8-20 in (20-50 cm),24-28°C,6.5-7.5,Soft-Medium (5-15 dGH),Carnivore,Solitary or species-dependent,10-20 years,4 in,"Clown Knifefish is a specialist 'oddball' predator (such as bichirs, arowana, gar, knifefish or eels). Most grow large and hunt, so the exact species dictates tank size and tankmates.","Use a tight, weighted lid — most oddball predators jump or climb. | Predatory: never house with fish small enough to be swallowed. | Research the exact species — many outgrow standard aquariums dramatically.",aqa-brineshrimp-flakes,,Predatory — feed meaty foods sized to the fish; large species need large prey items.,https://care.best4pets.in/fish/clown-knifefish,https://care.best4pets.in/fish/clown-knifefish/care/,https://best4pets.in/products/clown-knifefish-4inch,Clown Knifefish 4inch
RA-FSH-0097,least-rasbora,boraras-urophthalmoides-least-rasbora,Least rasbora,Rasbora,Cyprinidae,Southeast Asia,Beginner,Peaceful,Middle,40-75 L,0.75-2 in (2-5 cm),23-27°C,5.5-7.0,Soft-Medium (2-12 dGH),Omnivore,Shoal of 8 or more,3-5 years,,Least rasbora is a peaceful nano cyprinid that shoals tightly and suits planted and nano aquascapes. Its small size and calm nature make it a community favourite.,"Keep 8+ together for a confident, colourful shoal. | Soft, slightly acidic water and planted cover bring out the best colour. | Feed small foods — micro-pellets, crushed flake and frozen daphnia/cyclops.",aqa-micro-pellet-colour-enhancing,aqa-brineshrimp-flakes,,https://care.best4pets.in/fish/least-rasbora,https://care.best4pets.in/fish/least-rasbora/care/,https://best4pets.in/products/boraras-urophthalmoides-least-rasbora,Least rasbora (Pair)
RA-FSH-0098,red-tail-catfish,red-tail-catfish-2-5-copy,Red Tail Catfish,Catfish (other),Siluriformes,Varies,Intermediate,Aggressive,Bottom,1140 L,24-48 in (60-120 cm),22-28°C,6.0-7.8,Soft-Medium (5-15 dGH),Omnivore/Carnivore,Species-dependent,8-15 years,4.5 in,"Red Tail Catfish is a catfish whose needs depend heavily on species. Many are nocturnal and appreciate caves; some (e.g. Synodontis) stay moderate while others (shovelnose, redtail) grow very large.",Provide caves and shaded retreats — many catfish are nocturnal. | Confirm the species' adult size before buying; some grow far too large for home tanks. | Feed after lights-out with sinking foods to ensure they get enough.,aqa-micro-pellet-economy,aqa-brineshrimp-flakes,Feed after lights-out; larger/predatory species need meaty foods.,https://care.best4pets.in/fish/red-tail-catfish,https://care.best4pets.in/fish/red-tail-catfish/care/,https://best4pets.in/products/red-tail-catfish-2-5-copy,Red Tail Catfish 4.5inch
RA-FSH-0099,platy-combo,assorted-platy-combo,Platy Combo,Molly/Platy/Swordtail,Poeciliidae,Central America (livebearer),Beginner,Peaceful,Middle,75-115 L,2-5 in (5-13 cm),22-28°C,7.0-8.2,Medium-Hard (10-25 dGH),Omnivore (veg-leaning),Groups,3-5 years,,"Platy Combo is a hardy, peaceful livebearer that does best in hard, alkaline water with plenty of vegetable matter in its diet. An easy, active community fish.","Hard, alkaline water keeps these livebearers healthiest (mollies especially). | Include algae/veg-based foods — blanched vegetables and spirulina. | Keep in groups; expect regular broods of live young.",aqa-micro-pellet-colour-enhancing,aqa-brineshrimp-flakes,Add algae/vegetable matter for this veg-leaning livebearer.,https://care.best4pets.in/fish/platy-combo,https://care.best4pets.in/fish/platy-combo/care/,https://best4pets.in/products/assorted-platy-combo,Assorted Platy Combo
RA-FSH-0100,bi-colour-mbuna-2,bi-colour-mbuna,Bi Colour Mbuna,African Rift Cichlid (Malawi),Cichlidae,"Lake Malawi, East Africa",Intermediate,Aggressive,All levels,200 L,4-6 in (10-15 cm),24-28°C,7.8-8.6,Hard / Alkaline (10-20 dGH),Omnivore,Groups (species-appropriate),8-10 years,2.75 in,"Bi Colour Mbuna is a colourful, boldly territorial Lake Malawi cichlid. It needs hard, alkaline water and a rocky, cave-filled aquascape, with stocking planned to spread aggression.","Hard, alkaline water is essential — not for soft-water community tanks. | Build rockwork with many caves; keep them appropriately stocked to diffuse aggression. | Mbuna need veg-based food (avoid excess protein → Malawi bloat); peacocks/haps take more protein.",aqa-cichlid-colour-enhancer,aqa-brineshrimp-flakes,Mbuna are veg-leaning — keep protein moderate to avoid bloat.,https://care.best4pets.in/fish/bi-colour-mbuna-2,https://care.best4pets.in/fish/bi-colour-mbuna-2/care/,https://best4pets.in/products/bi-colour-mbuna,"Bi Colour Mbuna 2.75""-3"" (Pair)"
RA-FSH-0101,electric-blue-cichlid,electric-blue-cichlid-2-import,Electric Blue Cichlid,African Rift Cichlid (Malawi),Cichlidae,"Lake Malawi, East Africa",Intermediate,Aggressive,All levels,200 L,4-6 in (10-15 cm),24-28°C,7.8-8.6,Hard / Alkaline (10-20 dGH),Omnivore,Groups (species-appropriate),8-10 years,2 in,"Electric Blue Cichlid is a colourful, boldly territorial Lake Malawi cichlid. It needs hard, alkaline water and a rocky, cave-filled aquascape, with stocking planned to spread aggression.","Hard, alkaline water is essential — not for soft-water community tanks. | Build rockwork with many caves; keep them appropriately stocked to diffuse aggression. | Mbuna need veg-based food (avoid excess protein → Malawi bloat); peacocks/haps take more protein.",aqa-cichlid-colour-enhancer,aqa-brineshrimp-flakes,Mbuna are veg-leaning — keep protein moderate to avoid bloat.,https://care.best4pets.in/fish/electric-blue-cichlid,https://care.best4pets.in/fish/electric-blue-cichlid/care/,https://best4pets.in/products/electric-blue-cichlid-2-import,"Electric Blue Cichlid 2"" (Import)"
RA-FSH-0102,half-black-red-rose-guppy,half-black-red-rose-guppy,Half Black Red Rose Guppy,Guppy/Endler,Poeciliidae,Central/South America (livebearer),Beginner,Peaceful,Top-Middle,40-75 L,1-2.5 in (2.5-6 cm),22-28°C,7.0-8.0,Medium-Hard (8-20 dGH),Omnivore,Groups (more females than males),2-3 years,,"Half Black Red Rose Guppy is a colourful, hardy livebearer and one of the easiest fish in the hobby. It breeds readily and thrives in harder, alkaline water.","Prefers harder, alkaline water — avoid soft, acidic setups. | Keep 2-3 females per male to reduce harassment of females. | Breeds prolifically; provide plant cover for fry or expect a growing colony.",aqa-micro-pellet-colour-enhancing,aqa-brineshrimp-flakes,,https://care.best4pets.in/fish/half-black-red-rose-guppy,https://care.best4pets.in/fish/half-black-red-rose-guppy/care/,https://best4pets.in/products/half-black-red-rose-guppy,Half Black Red Rose Guppy
RA-FSH-0103,siam-yellow-tiger-guppy,siam-yellow-tiger-guppy,Siam Yellow Tiger Guppy,Guppy/Endler,Poeciliidae,Central/South America (livebearer),Beginner,Peaceful,Top-Middle,40-75 L,1-2.5 in (2.5-6 cm),22-28°C,7.0-8.0,Medium-Hard (8-20 dGH),Omnivore,Groups (more females than males),2-3 years,,"Siam Yellow Tiger Guppy is a colourful, hardy livebearer and one of the easiest fish in the hobby. It breeds readily and thrives in harder, alkaline water.","Prefers harder, alkaline water — avoid soft, acidic setups. | Keep 2-3 females per male to reduce harassment of females. | Breeds prolifically; provide plant cover for fry or expect a growing colony.",aqa-micro-pellet-colour-enhancing,aqa-brineshrimp-flakes,,https://care.best4pets.in/fish/siam-yellow-tiger-guppy,https://care.best4pets.in/fish/siam-yellow-tiger-guppy/care/,https://best4pets.in/products/siam-yellow-tiger-guppy,Siam Yellow Tiger  Guppy (Pair)
RA-FSH-0104,koi-red-tuxedo-guppy,koi-red-tuxedo-guppy,Koi Red Tuxedo Guppy,Koi,Cyprinidae (pond),Selectively bred (Japan),Intermediate,Peaceful,All levels,"Pond, 950+ L",24-36 in (60-90 cm),15-25°C,7.0-8.5,Medium-Hard (8-20 dGH),Omnivore,Groups,20-30+ years,,"Koi Red Tuxedo Guppy is a pond fish, not an aquarium fish — it reaches 60-90 cm and lives for decades. It needs a large pond with powerful filtration and aeration.",A POND fish: an aquarium is only suitable for short-term grow-out. | Plan for a very large adult size and heavy filtration. | Tolerates cool water well; feed less as temperatures drop.,aqa-micro-pellet-economy,,Use a pond staple sized to the fish; add vegetable matter.,https://care.best4pets.in/fish/koi-red-tuxedo-guppy,https://care.best4pets.in/fish/koi-red-tuxedo-guppy/care/,https://best4pets.in/products/koi-red-tuxedo-guppy,Koi Red Tuxedo Guppy (Pair)
RA-FSH-0105,white-tuxedo-crowntail-guppy,white-tuxedo-crowntail-guppy,White Tuxedo Crowntail Guppy,Betta,Osphronemidae,Southeast Asia,Beginner,Aggressive,Top-Middle,20 L,2.5-3 in (6-8 cm),24-28°C,6.0-7.5,Soft-Medium (2-15 dGH),Carnivore,Solitary (one male per tank),3-5 years,,"White Tuxedo Crowntail Guppy is a labyrinth fish that breathes air from the surface. Males are beautiful but territorial and must be kept one to a tank; they prefer warm, still water.","One male per tank — males fight, sometimes to the death. | Warm, stable water and gentle flow (strong currents stress them). | Carnivore: feed betta pellets plus frozen bloodworms/brine shrimp.",aqa-micro-pellet-colour-enhancing,aqa-brineshrimp-flakes,,https://care.best4pets.in/fish/white-tuxedo-crowntail-guppy,https://care.best4pets.in/fish/white-tuxedo-crowntail-guppy/care/,https://best4pets.in/products/white-tuxedo-crowntail-guppy,White Tuxedo Crowntail Guppy
RA-FSH-0106,red-frontosa-cichlid,red-frontosa-cichlid-5cm,Red Frontosa Cichlid,Tanganyikan Cichlid,Cichlidae,"Lake Tanganyika, East Africa",Intermediate,Semi-aggressive,All levels,475 L,12-14 in (30-35 cm),24-28°C,7.8-9.0,Hard / Alkaline (10-20 dGH),Carnivore/Omnivore,Colony or pair (species-dependent),8-15 years,5 cm,"Red Frontosa Cichlid is a Lake Tanganyika cichlid needing hard, alkaline water. This group ranges from tiny shell-dwellers to large Frontosa, so check the specific species' adult size and setup.","Hard, alkaline water with the right decor — shells for shell-dwellers, rock for others. | Adult size varies enormously across this group — confirm the species before stocking. | Feed appropriately: many are micro-predators; avoid excess for the smaller species.",aqa-cichlid-colour-enhancer,aqa-brineshrimp-flakes,,https://care.best4pets.in/fish/red-frontosa-cichlid,https://care.best4pets.in/fish/red-frontosa-cichlid/care/,https://best4pets.in/products/red-frontosa-cichlid-5cm,Red Frontosa Cichlid 5cm (Pair)
RA-FSH-0107,bi-colour-cichlid,copy-of-bi-colour-cichlid-2,Bi-Colour Cichlid,Cichlid (other),Cichlidae,Varies,Intermediate,Semi-aggressive,All levels,150-200 L,4-8 in — varies by species,23-28°C,6.5-8.0,Medium (5-20 dGH),Omnivore,Species-dependent,8-12 years,2 in,Bi-Colour Cichlid is a cichlid whose exact requirements depend on its species and region. As a group these fish are territorial and appreciate structured decor and defined territories.,Confirm the species' origin (African rift vs. New World) to set the right water hardness. | Provide territory and broken sight-lines to reduce aggression. | Match tankmates to the species' adult size and temperament.,aqa-cichlid-colour-enhancer,aqa-brineshrimp-flakes,,https://care.best4pets.in/fish/bi-colour-cichlid,https://care.best4pets.in/fish/bi-colour-cichlid/care/,https://best4pets.in/products/copy-of-bi-colour-cichlid-2,"Bi-Colour Cichlid 2"""
RA-FSH-0108,aristochromis-christyi-the-malawi-hawk-cichlid,aristochromis-christyi-the-malawi-hawk-cichlid-2,Aristochromis christyi / The Malawi Hawk Cichlid,African Rift Cichlid (Malawi),Cichlidae,"Lake Malawi, East Africa",Intermediate,Aggressive,All levels,200 L,4-6 in (10-15 cm),24-28°C,7.8-8.6,Hard / Alkaline (10-20 dGH),Omnivore,Groups (species-appropriate),8-10 years,2 in,"Aristochromis christyi / The Malawi Hawk Cichlid is a colourful, boldly territorial Lake Malawi cichlid. It needs hard, alkaline water and a rocky, cave-filled aquascape, with stocking planned to spread aggression.","Hard, alkaline water is essential — not for soft-water community tanks. | Build rockwork with many caves; keep them appropriately stocked to diffuse aggression. | Mbuna need veg-based food (avoid excess protein → Malawi bloat); peacocks/haps take more protein.",aqa-cichlid-colour-enhancer,aqa-brineshrimp-flakes,Mbuna are veg-leaning — keep protein moderate to avoid bloat.,https://care.best4pets.in/fish/aristochromis-christyi-the-malawi-hawk-cichlid,https://care.best4pets.in/fish/aristochromis-christyi-the-malawi-hawk-cichlid/care/,https://best4pets.in/products/aristochromis-christyi-the-malawi-hawk-cichlid-2,"Aristochromis christyi / The Malawi Hawk Cichlid 2"""
RA-FSH-0109,ruby-red-peacock,ruby-red-peacock-3,Ruby Red Peacock,African Rift Cichlid (Malawi),Cichlidae,"Lake Malawi, East Africa",Intermediate,Aggressive,All levels,200 L,4-6 in (10-15 cm),24-28°C,7.8-8.6,Hard / Alkaline (10-20 dGH),Omnivore,Groups (species-appropriate),8-10 years,3 in,"Ruby Red Peacock is a colourful, boldly territorial Lake Malawi cichlid. It needs hard, alkaline water and a rocky, cave-filled aquascape, with stocking planned to spread aggression.","Hard, alkaline water is essential — not for soft-water community tanks. | Build rockwork with many caves; keep them appropriately stocked to diffuse aggression. | Mbuna need veg-based food (avoid excess protein → Malawi bloat); peacocks/haps take more protein.",aqa-cichlid-colour-enhancer,aqa-brineshrimp-flakes,Mbuna are veg-leaning — keep protein moderate to avoid bloat.,https://care.best4pets.in/fish/ruby-red-peacock,https://care.best4pets.in/fish/ruby-red-peacock/care/,https://best4pets.in/products/ruby-red-peacock-3,"Ruby Red Peacock 3"""
RA-FSH-0110,red-lace-guppy,red-lace-guppy-pair,Red Lace Guppy,Guppy/Endler,Poeciliidae,Central/South America (livebearer),Beginner,Peaceful,Top-Middle,40-75 L,1-2.5 in (2.5-6 cm),22-28°C,7.0-8.0,Medium-Hard (8-20 dGH),Omnivore,Groups (more females than males),2-3 years,,"Red Lace Guppy is a colourful, hardy livebearer and one of the easiest fish in the hobby. It breeds readily and thrives in harder, alkaline water.","Prefers harder, alkaline water — avoid soft, acidic setups. | Keep 2-3 females per male to reduce harassment of females. | Breeds prolifically; provide plant cover for fry or expect a growing colony.",aqa-micro-pellet-colour-enhancing,aqa-brineshrimp-flakes,,https://care.best4pets.in/fish/red-lace-guppy,https://care.best4pets.in/fish/red-lace-guppy/care/,https://best4pets.in/products/red-lace-guppy-pair,Red Lace Guppy (Pair)
RA-FSH-0111,red-silverado-guppy,red-silverado-guppy,Red Silverado Guppy,Guppy/Endler,Poeciliidae,Central/South America (livebearer),Beginner,Peaceful,Top-Middle,40-75 L,1-2.5 in (2.5-6 cm),22-28°C,7.0-8.0,Medium-Hard (8-20 dGH),Omnivore,Groups (more females than males),2-3 years,,"Red Silverado Guppy is a colourful, hardy livebearer and one of the easiest fish in the hobby. It breeds readily and thrives in harder, alkaline water.","Prefers harder, alkaline water — avoid soft, acidic setups. | Keep 2-3 females per male to reduce harassment of females. | Breeds prolifically; provide plant cover for fry or expect a growing colony.",aqa-micro-pellet-colour-enhancing,aqa-brineshrimp-flakes,,https://care.best4pets.in/fish/red-silverado-guppy,https://care.best4pets.in/fish/red-silverado-guppy/care/,https://best4pets.in/products/red-silverado-guppy,Red Silverado Guppy (Pair)
RA-FSH-0112,chocolate-cichlid,chocolate-cichlid-jumbo,Chocolate cichlid,SA/CA Cichlid (large),Cichlidae,Central/South America,Intermediate-Advanced,Aggressive,All levels,200-475 L (species-dependent),6-16 in — varies by species,23-28°C,6.5-7.5,Medium (5-20 dGH),Carnivore/Omnivore,Solitary or bonded pair,10-15 years,,"Chocolate cichlid is a large, characterful New World cichlid. These fish are intelligent and territorial, needing a big tank, strong filtration and robust decor. Adult size varies widely by species.",Provide a large tank with powerful filtration and secure hardscape. | Territorial and often aggressive — choose tankmates carefully and confirm the species' temperament. | Confirm the exact species' adult size before stocking — some exceed 30 cm.,aqa-cichlid-colour-enhancer,aqa-brineshrimp-flakes,Larger specimens need bigger meaty/pellet foods.,https://care.best4pets.in/fish/chocolate-cichlid,https://care.best4pets.in/fish/chocolate-cichlid/care/,https://best4pets.in/products/chocolate-cichlid-jumbo,Chocolate cichlid Jumbo
RA-FSH-0113,white-mosaic-guppy,white-mosaic-guppy,White mosaic Guppy,Guppy/Endler,Poeciliidae,Central/South America (livebearer),Beginner,Peaceful,Top-Middle,40-75 L,1-2.5 in (2.5-6 cm),22-28°C,7.0-8.0,Medium-Hard (8-20 dGH),Omnivore,Groups (more females than males),2-3 years,,"White mosaic Guppy is a colourful, hardy livebearer and one of the easiest fish in the hobby. It breeds readily and thrives in harder, alkaline water.","Prefers harder, alkaline water — avoid soft, acidic setups. | Keep 2-3 females per male to reduce harassment of females. | Breeds prolifically; provide plant cover for fry or expect a growing colony.",aqa-micro-pellet-colour-enhancing,aqa-brineshrimp-flakes,,https://care.best4pets.in/fish/white-mosaic-guppy,https://care.best4pets.in/fish/white-mosaic-guppy/care/,https://best4pets.in/products/white-mosaic-guppy,White mosaic Guppy (Pairs)
RA-FSH-0114,eyespot-rasbora,eyespot-rasbora,Eyespot Rasbora,Rasbora,Cyprinidae,Southeast Asia,Beginner,Peaceful,Middle,40-75 L,0.75-2 in (2-5 cm),23-27°C,5.5-7.0,Soft-Medium (2-12 dGH),Omnivore,Shoal of 8 or more,3-5 years,,Eyespot Rasbora is a peaceful nano cyprinid that shoals tightly and suits planted and nano aquascapes. Its small size and calm nature make it a community favourite.,"Keep 8+ together for a confident, colourful shoal. | Soft, slightly acidic water and planted cover bring out the best colour. | Feed small foods — micro-pellets, crushed flake and frozen daphnia/cyclops.",aqa-micro-pellet-colour-enhancing,aqa-brineshrimp-flakes,,https://care.best4pets.in/fish/eyespot-rasbora,https://care.best4pets.in/fish/eyespot-rasbora/care/,https://best4pets.in/products/eyespot-rasbora,Eyespot Rasbora
RA-FSH-0115,super-red-bristlenose-pleco,super-red-bristlenose-pleco-1-75,Super Red Bristlenose Pleco,Pleco (L-number/Bristlenose),Loricariidae,South America,Beginner-Intermediate,Peaceful (with care),Bottom,115 L,4-5 in (10-13 cm),24-28°C,6.0-7.5,Soft-Medium (2-15 dGH),Omnivore,Solitary (can be territorial),10-15 years,1.5 in,"Super Red Bristlenose Pleco is a loricariid catfish. Sizes range from a 12 cm bristlenose to an 45 cm+ common pleco, so confirm the species. Most graze biofilm and need driftwood and sinking foods.","Provide driftwood — many species rasp on wood as part of their diet. | Don't rely on tank algae alone; offer sinking wafers and vegetables (Hypancistrus are carnivores). | Confirm adult size before buying — bristlenose stay ~12 cm, common/sailfin plecos exceed 40 cm.",aqa-micro-pellet-economy,,"Supplement with algae wafers, vegetables and driftwood (Hypancistrus need meaty food).",https://care.best4pets.in/fish/super-red-bristlenose-pleco,https://care.best4pets.in/fish/super-red-bristlenose-pleco/care/,https://best4pets.in/products/super-red-bristlenose-pleco-1-75,"Super Red Bristlenose Pleco 1.5"" (Pair)"
